customer_id,customer_name,email,city,state,signup_date,customer_segment
C1000,Customer 1,customer1@example.com,Delhi,Delhi,2024-02-14,Regular
C1001,Customer 2,customer2@example.com,Noida,Uttar Pradesh,2025-01-21,Premium
C1002,Customer 3,customer3@example.com,Gurugram,Haryana,2024-02-12,Regular
C1003,Customer 4,customer4@example.com,Mumbai,Maharashtra,2024-12-14,VIP
C1004,Customer 5,customer5@example.com,Pune,Maharashtra,2025-01-02,Premium
C1005,Customer 6,customer6@example.com,Bengaluru,Karnataka,2025-01-15,Regular
C1006,Customer 7,customer7@example.com,Hyderabad,Telangana,2025-02-23,Regular
C1007,Customer 8,,Chennai,Tamil Nadu,2024-08-13,VIP
C1008,Customer 9,customer9@example.com,Kolkata,West Bengal,2025-01-25,Premium
C1009,Customer 10,customer10@example.com,Jaipur,Rajasthan,2024-11-17,Regular
C1010,Customer 11,customer11@example.com,Ahmedabad,Gujarat,2024-08-13,Regular
C1011,Customer 12,customer12@example.com,Lucknow,Uttar Pradesh,2024-04-23,Regular
C1012,Customer 13,customer13@example.com,Delhi,Delhi,2025-03-05,Premium
C1013,Customer 14,customer14@example.com,Noida,Uttar Pradesh,2025-02-17,Premium
C1014,Customer 15,customer15@example.com,Gurugram,Haryana,2024-12-16,VIP
C1015,Customer 16,customer16@example.com,Mumbai,Maharashtra,2024-06-26,Premium
C1016,Customer 17,customer17@example.com,Pune,Maharashtra,2024-12-04,Regular
C1017,Customer 18,customer18@example.com,Bengaluru,Karnataka,2025-01-24,Regular
C1018,Customer 19,customer19@example.com,Hyderabad,Telangana,2024-09-05,Regular
C1019,Customer 20,customer20@example.com,Chennai,Tamil Nadu,2024-01-22,Premium
C1020,Customer 21,customer21@example.com,Kolkata,West Bengal,2025-04-06,VIP
C1021,Customer 22,customer22@example.com,Jaipur,Rajasthan,2025-01-07,Regular
C1022,Customer 23,customer23@example.com,Ahmedabad,Gujarat,2025-03-28,Regular
C1023,Customer 24,customer24@example.com,Lucknow,Uttar Pradesh,2024-07-04,Regular
C1024,Customer 25,customer25@example.com,Delhi,Delhi,2024-08-19,Regular
C1025,Customer 26,customer26@example.com,,Uttar Pradesh,2024-03-05,Regular
C1026,Customer 27,customer27@example.com,Gurugram,Haryana,2024-10-09,Regular
C1027,Customer 28,customer28@example.com,Mumbai,Maharashtra,2024-11-30,Premium
C1028,Customer 29,customer29@example.com,Pune,Maharashtra,2024-11-10,Regular
C1029,Customer 30,customer30@example.com,Bengaluru,Karnataka,2024-12-16,Premium
C1030,Customer 31,customer31@example.com,Hyderabad,Telangana,2024-08-05,Regular
C1031,Customer 32,customer32@example.com,Chennai,Tamil Nadu,2025-02-06,Regular
C1032,Customer 33,customer33@example.com,Kolkata,West Bengal,2024-04-29,Regular
C1033,Customer 34,customer34@example.com,Jaipur,Rajasthan,2024-12-07,Regular
C1034,Customer 35,customer35@example.com,Ahmedabad,Gujarat,2025-02-06,Premium
C1035,Customer 36,customer36@example.com,Lucknow,Uttar Pradesh,2024-01-04,Premium
C1036,Customer 37,customer37@example.com,Delhi,Delhi,2024-08-23,Premium
C1037,Customer 38,customer38@example.com,Noida,Uttar Pradesh,2024-12-18,Regular
C1038,Customer 39,customer39@example.com,Gurugram,Haryana,2024-09-09,Regular
C1039,Customer 40,customer40@example.com,Mumbai,Maharashtra,2024-10-11,Regular
C1040,Customer 41,customer41@example.com,Pune,Maharashtra,2024-08-07,Regular
C1041,Customer 42,customer42@example.com,Bengaluru,Karnataka,2024-11-30,Regular
C1042,Customer 43,customer43@example.com,Hyderabad,Telangana,2024-02-09,Premium
C1043,Customer 44,customer44@example.com,Chennai,Tamil Nadu,2025-01-17,Regular
C1044,Customer 45,customer45@example.com,Kolkata,West Bengal,2024-02-15,Regular
C1045,Customer 46,customer46@example.com,Jaipur,Rajasthan,2024-10-06,Regular
C1046,Customer 47,customer47@example.com,Ahmedabad,Gujarat,2024-06-22,Regular
C1047,Customer 48,customer48@example.com,Lucknow,Uttar Pradesh,2024-08-06,Regular
C1048,Customer 49,customer49@example.com,Delhi,Delhi,2025-05-11,Regular
C1049,Customer 50,customer50@example.com,Noida,Uttar Pradesh,2025-03-02,Regular
C1050,Customer 51,customer51@example.com,Gurugram,Haryana,2025-03-03,Regular
C1051,Customer 52,customer52@example.com,Mumbai,Maharashtra,2024-05-20,Premium
C1052,Customer 53,customer53@example.com,Pune,Maharashtra,2024-03-04,Premium
C1053,Customer 54,customer54@example.com,Bengaluru,Karnataka,2024-10-05,Premium
C1054,Customer 55,customer55@example.com,Hyderabad,Telangana,2024-07-23,Premium
C1055,Customer 56,customer56@example.com,Chennai,Tamil Nadu,2024-07-22,Regular
C1056,Customer 57,customer57@example.com,Kolkata,West Bengal,2024-06-16,Regular
C1057,Customer 58,customer58@example.com,Jaipur,Rajasthan,2024-01-12,Premium
C1058,Customer 59,customer59@example.com,Ahmedabad,Gujarat,2024-12-14,Regular
C1059,Customer 60,customer60@example.com,Lucknow,Uttar Pradesh,2024-08-18,Regular
C1060,Customer 61,customer61@example.com,Delhi,Delhi,2025-04-14,Premium
C1061,Customer 62,customer62@example.com,Noida,Uttar Pradesh,2024-03-17,Regular
C1062,Customer 63,customer63@example.com,Gurugram,Haryana,2024-03-24,Regular
C1063,Customer 64,customer64@example.com,Mumbai,Maharashtra,2024-07-09,Premium
C1064,Customer 65,customer65@example.com,Pune,Maharashtra,2024-10-30,Regular
C1065,Customer 66,customer66@example.com,Bengaluru,Karnataka,2024-06-29,Regular
C1066,Customer 67,customer67@example.com,Hyderabad,Telangana,2024-06-18,VIP
C1067,Customer 68,customer68@example.com,Chennai,Tamil Nadu,2025-04-25,Premium
C1068,Customer 69,customer69@example.com,Kolkata,West Bengal,2024-08-16,VIP
C1069,Customer 70,customer70@example.com,Jaipur,Rajasthan,2024-05-12,Premium
C1070,Customer 71,customer71@example.com,Ahmedabad,Gujarat,2024-05-10,Regular
C1071,Customer 72,customer72@example.com,Lucknow,Uttar Pradesh,2024-12-24,Regular
C1072,Customer 73,customer73@example.com,Delhi,Delhi,2024-02-09,VIP
C1073,Customer 74,customer74@example.com,Noida,Uttar Pradesh,2024-02-18,Regular
C1074,Customer 75,customer75@example.com,Gurugram,Haryana,2024-12-18,Regular
C1075,Customer 76,customer76@example.com,Mumbai,Maharashtra,2024-04-11,Regular
C1076,Customer 77,customer77@example.com,Pune,Maharashtra,2024-09-30,Premium
C1077,Customer 78,customer78@example.com,Bengaluru,Karnataka,2024-03-29,Premium
C1078,Customer 79,customer79@example.com,Hyderabad,Telangana,2024-09-03,Regular
C1079,Customer 80,customer80@example.com,Chennai,Tamil Nadu,2024-12-25,Premium
C1080,Customer 81,customer81@example.com,Kolkata,West Bengal,2024-03-11,Premium
C1081,Customer 82,customer82@example.com,Jaipur,Rajasthan,2024-10-19,Regular
C1082,Customer 83,customer83@example.com,Ahmedabad,Gujarat,2025-01-13,Regular
C1083,Customer 84,customer84@example.com,Lucknow,Uttar Pradesh,2024-07-26,Regular
C1084,Customer 85,customer85@example.com,Delhi,Delhi,2024-04-04,Regular
C1085,Customer 86,customer86@example.com,Noida,Uttar Pradesh,2024-06-13,Regular
C1086,Customer 87,customer87@example.com,Gurugram,Haryana,2024-03-28,Regular
C1087,Customer 88,customer88@example.com,Mumbai,Maharashtra,2024-10-20,VIP
C1088,Customer 89,customer89@example.com,Pune,Maharashtra,2025-05-09,Regular
C1089,Customer 90,customer90@example.com,Bengaluru,Karnataka,2024-10-17,Regular
C1090,Customer 91,customer91@example.com,Hyderabad,Telangana,2024-05-27,VIP
C1091,Customer 92,customer92@example.com,Chennai,Tamil Nadu,2024-01-12,Regular
C1092,Customer 93,customer93@example.com,Kolkata,West Bengal,2024-08-21,Regular
C1093,Customer 94,customer94@example.com,Jaipur,Rajasthan,2025-01-26,Regular
C1094,Customer 95,customer95@example.com,Ahmedabad,Gujarat,2024-12-01,VIP
C1095,Customer 96,customer96@example.com,Lucknow,Uttar Pradesh,2024-09-02,Regular
C1096,Customer 97,customer97@example.com,Delhi,Delhi,2024-09-28,Regular
C1097,Customer 98,customer98@example.com,Noida,Uttar Pradesh,2024-08-24,Regular
C1098,Customer 99,customer99@example.com,Gurugram,Haryana,2024-09-29,Regular
C1099,Customer 100,customer100@example.com,Mumbai,Maharashtra,2024-09-17,Regular
C1100,Customer 101,customer101@example.com,Pune,Maharashtra,2024-06-30,Premium
C1101,Customer 102,customer102@example.com,Bengaluru,Karnataka,2025-02-17,Regular
C1102,Customer 103,customer103@example.com,Hyderabad,Telangana,2024-05-31,Regular
C1103,Customer 104,customer104@example.com,Chennai,Tamil Nadu,2024-10-04,Premium
C1104,Customer 105,customer105@example.com,Kolkata,West Bengal,2024-02-29,Premium
C1105,Customer 106,customer106@example.com,Jaipur,Rajasthan,2024-05-20,Premium
C1106,Customer 107,customer107@example.com,Ahmedabad,Gujarat,2025-04-14,Regular
C1107,Customer 108,customer108@example.com,Lucknow,Uttar Pradesh,2025-01-19,VIP
C1108,Customer 109,customer109@example.com,Delhi,Delhi,2025-05-02,Regular
C1109,Customer 110,customer110@example.com,Noida,Uttar Pradesh,2024-04-25,Regular
C1110,Customer 111,customer111@example.com,Gurugram,Haryana,2024-09-30,Premium
C1111,Customer 112,customer112@example.com,Mumbai,Maharashtra,2024-07-04,Premium
C1112,Customer 113,customer113@example.com,Pune,Maharashtra,2025-04-26,VIP
C1113,Customer 114,customer114@example.com,Bengaluru,Karnataka,2024-06-07,Regular
C1114,Customer 115,customer115@example.com,Hyderabad,Telangana,2024-11-06,Regular
C1115,Customer 116,customer116@example.com,Chennai,Tamil Nadu,2024-09-14,VIP
C1116,Customer 117,customer117@example.com,Kolkata,West Bengal,2024-03-31,Regular
C1117,Customer 118,customer118@example.com,Jaipur,Rajasthan,2024-03-23,Regular
C1118,Customer 119,customer119@example.com,Ahmedabad,Gujarat,2025-04-29,Premium
C1119,Customer 120,customer120@example.com,Lucknow,Uttar Pradesh,2025-05-11,Premium
C1120,Customer 121,customer121@example.com,Delhi,Delhi,2025-02-26,Premium
C1121,Customer 122,customer122@example.com,Noida,Uttar Pradesh,2025-03-21,Regular
C1122,Customer 123,customer123@example.com,Gurugram,Haryana,2024-08-22,Premium
C1123,Customer 124,customer124@example.com,Mumbai,Maharashtra,2024-06-06,Premium
C1124,Customer 125,customer125@example.com,Pune,Maharashtra,2024-07-24,Regular
C1125,Customer 126,customer126@example.com,Bengaluru,Karnataka,2024-07-05,Premium
C1126,Customer 127,customer127@example.com,Hyderabad,Telangana,2024-07-08,VIP
C1127,Customer 128,customer128@example.com,Chennai,Tamil Nadu,2024-05-11,Regular
C1128,Customer 129,customer129@example.com,Kolkata,West Bengal,2024-01-16,Premium
C1129,Customer 130,customer130@example.com,Jaipur,Rajasthan,2024-03-02,Regular
C1130,Customer 131,customer131@example.com,Ahmedabad,Gujarat,2025-01-08,Regular
C1131,Customer 132,customer132@example.com,Lucknow,Uttar Pradesh,2024-03-30,Premium
C1132,Customer 133,customer133@example.com,Delhi,Delhi,2024-01-23,Regular
C1133,Customer 134,customer134@example.com,Noida,Uttar Pradesh,2024-04-08,Premium
C1134,Customer 135,customer135@example.com,Gurugram,Haryana,2024-06-09,Regular
C1135,Customer 136,customer136@example.com,Mumbai,Maharashtra,2025-04-30,Regular
C1136,Customer 137,customer137@example.com,Pune,Maharashtra,2025-04-12,Regular
C1137,Customer 138,customer138@example.com,Bengaluru,Karnataka,2024-01-07,Regular
C1138,Customer 139,customer139@example.com,Hyderabad,Telangana,2024-01-09,Regular
